ID,Female,Over40,Pasta
1110,1,0,MeatSauce
1111,0,0,Carbonara
1112,1,0,MeatSauce
1113,1,1,Carbonara
1114,1,0,Peperoncino
1115,0,1,Carbonara
1116,1,1,MeatSauce
1117,0,1,MeatSauce
1118,0,0,Naporitan
1119,1,1,Peperoncino
1120,0,1,Naporitan
1121,1,0,Naporitan
1122,1,0,Carbonara
1123,0,0,Carbonara
1124,1,1,Naporitan
1125,0,1,Carbonara
1126,0,0,Peperoncino
1127,1,0,MeatSauce
1128,0,0,MeatSauce
1129,1,0,Carbonara
1130,1,1,Peperoncino
1131,0,0,Naporitan
1132,1,1,Peperoncino
1133,0,0,Naporitan
1134,1,1,Peperoncino
1135,1,1,Peperoncino
